Article_ID,fixed,only_notes_mismatch,Covidence_ID,Name_data_entry,Parameter_type,Parameter_FromFigure,Method_from_supplement,Parameter value,Exponent,Parameter lower bound,Parameter upper bound,Inverse_param,Parameter unit,Parameter value type,Parameter statistical approach,Parameter uncertainty - single type,Parameter uncertainty - single value,Parameter uncertainty - type,Parameter uncertainty - lower value,Parameter uncertainty - upper value,Distribution_type,Distribution_par1_type,Distribution_par1_value,Distribution_par1_uncertainty,Distribution_par2_type,Distribution_par2_value,Distribution_par2_uncertainty,parameter_paired,Parameter 2 value type,Parameter 2 value,Parameter 2 lower bound,Parameter 2 upper bound,Exponent_2,Inverse_param_2,Parameter 2 unit,Method_2_from_supplement,Parameter 2 statistical approach,Parameter 2 uncertainty - single type,Parameter 2 uncertainty - single value,Parameter 2 uncertainty type,Parameter 2 uncertainty - lower value,Parameter 2 uncertainty - upper value,Distribution_2_type,Distribution_2_par1_type,Distribution_2_par1_value,Distribution_2_par1_uncertainty,Distribution_2_par2_type,Distribution_2_par2_value,Distribution_2_par2_uncertainty,Genome_site,Genomic_sequence_available,Method_R,R_pathway,parameter_hd_from,Other_delay_start,parameter_hd_to,Other_delay_end,CFR_IFR_numerator,CFR_IFR_denominator,CFR_IFR_Method,Case_definition,Riskfactor_outcome,Riskfactor_name,Riskfactor_occupation,Riskfactor_significant,Riskfactor_adjusted,Method_disaggregated,Method_disaggregated_only,Method_disaggregated_by,Population_sex,Population_sample_size,Population_sample_type,Population_group,Population_age_min,Population_age_max,Population_country,Population_location,parameter_context_location_type,Method_moment_value,Urban/Rural area,Data_available,parameter_notes,Population_study_start_day,Population_study_start_month,Population_study_start_year,Population_study_end_day,Population_study_end_month,Population_study_end_year,access_param_id,Pathogen,num_rows,matching
141,1,FALSE,1078,Gina Cuomo-Dannenburg,Severity - case fatality rate (CFR),No,No,67.6,NA,NA,NA,NA,Percentage (%),Unspecified,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223,330,Naive,Confirmed,NA,NA,NA,NA,NA,No,NA,NA,Both,330,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,ICUs in 14 referral hospitals in 5 cities (see supplement),multiple cities,Unspecified,Urban area,Not available,Table 3 - hospital mortality. Mortality rate during hospital stay among MERS SARI cases. (Case def is SARI cases with positive MERS-CoV PCR test),NA,9,2012,NA,10,2015,141_012,MERS-CoV,1,0
59,1,FALSE,1078,Amy Dighe,Human delay - other human delay (go to section),No,No,12,NA,NA,NA,No,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,IQR,NA,5,26.5,NA,No,Days,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Admission to ICU,Discharge from Critical Care/ICU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,Other,Both,113,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,ICUs in 14 referral hospitals in 5 cities (see supplement),multiple cities,Unspecified,Urban area,Not available,Population is MERS SARI patients who survived. ICU stay amongst survivors only.,NA,9,2012,NA,10,2015,059_007,MERS-CoV,1,0
59,1,FALSE,1078,Amy Dighe,Severity - case fatality rate (CFR),No,No,65.8,NA,NA,NA,No,Percentage (%),Unspecified,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217,330,Naive,Confirmed,NA,NA,NA,NA,NA,No,NA,NA,Both,330,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,ICUs in 14 referral hospitals in 5 cities (see supplement),cities,Unspecified,Urban area,Not available,Mortality rate during ICU stay among MERS SARI cases.,NA,9,2012,NA,10,2015,059_017,MERS-CoV,1,0
59,1,FALSE,1078,Amy Dighe,Human delay - other human delay (go to section),No,No,19,NA,NA,NA,No,Days,Median,Estimated parameter,NA,NA,CI95%,16,24,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,First positive RT-PCR test,Other,viral RNA clearance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,113,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,ICUs in 14 referral hospitals in 5 cities (see supplement),multiple cities,Unspecified,Urban area,Not available,Population is MERS SARI patients who survived. Refers to clearance in respiratory samples. Kaplan Meier curve used to estimate.  pg 1689 text,NA,9,2012,NA,10,2015,059_008,MERS-CoV,1,0
59,1,FALSE,1078,Amy Dighe,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Infection,"Age,Comorbidity,Occupation,Sex",Healthcare,Significant,Not adjusted,No,NA,NA,Both,555,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,14 ICUs across 5 cities,multiple cities,Unspecified,Urban area,Not available,"Population is patients with SARI. Comorbidities that were significant were: Any comorbidity, Chronic cardiac disease, Chronic pulmonary disease, Chronic neurological disease. HCWs and also Healthcare associated non HCWs were significant. Age was still significant when excluding healthcare workers. Table 1",NA,9,2012,NA,10,2015,059_009,MERS-CoV,1,0
59,1,FALSE,1078,Amy Dighe,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Infection,"Comorbidity,Other",NA,Not significant,Not adjusted,No,NA,NA,Both,555,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,14 ICUs across 5 cities,multiple cities,Unspecified,Urban area,Not available,"Population is SARI patients. Other is specifically BMI. Comorbidities that were insignificant were diabetes with chronic complications, chronic renal disease, Any malignancy, Liver disease, Immunosuppressant use, Rheumatological disease, and AIDS. Table 1",NA,9,2012,NA,10,2015,059_010,MERS-CoV,1,0
141,1,FALSE,1078,Gina Cuomo-Dannenburg,Human delay - other human delay (go to section),No,No,5,NA,NA,NA,NA,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,IQR,NA,3,8,NA,NA,Days,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Onset of symptoms,Seeking Care,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,Other,Both,330,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,ICUs in 14 referral hospitals in 5 cities (see supplement),multiple cities,Unspecified,Urban area,Not available,Onset to emergency department visit,NA,9,2012,NA,10,2015,141_001,MERS-CoV,1,0
141,1,FALSE,1078,Gina Cuomo-Dannenburg,Human delay - other human delay (go to section),No,No,4,NA,NA,NA,No,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,IQR,NA,3,7.5,NA,NA,Days,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Onset of symptoms,Seeking Care,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,Other,Both,217,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,ICUs in 14 referral hospitals in 5 cities (see supplement),multiple cities,Unspecified,Urban area,Not available,MERS non-survivors,NA,9,2012,NA,10,2015,141_004,MERS-CoV,1,0
141,1,FALSE,1078,Gina Cuomo-Dannenburg,Human delay - other human delay (go to section),No,No,5,NA,NA,NA,NA,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,IQR,NA,3,8,NA,NA,Days,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Onset of symptoms,Seeking Care,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,Other,Both,113,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,ICUs in 14 referral hospitals in 5 cities (see supplement),multiple cities,Unspecified,Urban area,Not available,MERS Survivors,NA,9,2012,NA,10,2015,141_007,MERS-CoV,1,0
141,1,FALSE,1078,Gina Cuomo-Dannenburg,Human delay - other human delay (go to section),No,No,7,NA,NA,NA,NA,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,IQR,NA,5,12,NA,NA,Days,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Onset of symptoms,Admission to Critical Care/ICU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Both,217,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,ICUs in 14 referral hospitals in 5 cities (see supplement),multiple cities,Unspecified,Urban area,Not available,MERS non-survivors,NA,9,2012,NA,10,2015,141_005,MERS-CoV,1,0
141,1,FALSE,1078,Gina Cuomo-Dannenburg,Human delay - other human delay (go to section),NA,NA,6,NA,NA,NA,NA,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,IQR,NA,4,9,NA,NA,Days,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Onset of symptoms,Admission to Critical Care/ICU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Both,113,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,ICUs in 14 referral hospitals in 5 cities (see supplement),multiple cities,Unspecified,Urban area,Not available,Survivors,NA,9,2012,NA,10,2015,141_008,MERS-CoV,1,0
141,1,FALSE,1078,Gina Cuomo-Dannenburg,Human delay - other human delay (go to section),No,No,8,NA,NA,NA,NA,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,IQR,NA,5,12,NA,NA,Days,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Onset of symptoms,Other,Intubation,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Other,Both,217,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,ICUs in 14 referral hospitals in 5 cities (see supplement),multiple cities,Unspecified,Urban area,Not available,MERS non-survivors,NA,9,2012,NA,10,2015,141_006,MERS-CoV,1,0
141,1,FALSE,1078,Gina Cuomo-Dannenburg,Human delay - other human delay (go to section),NA,NA,8,NA,NA,NA,NA,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,IQR,NA,5,12,NA,NA,Days,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Onset of symptoms,Other,Intubation,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Both,113,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,ICUs in 14 referral hospitals in 5 cities (see supplement),multiple cities,Unspecified,Urban area,Not available,Survivors,NA,9,2012,NA,10,2015,141_009,MERS-CoV,1,0
141,1,FALSE,1078,Gina Cuomo-Dannenburg,Risk factors,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,"Age,Comorbidity",NA,Significant,Adjusted,Yes,NA,Other,Both,330,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,14 ICUs across 5 cities,multiple cities,Unspecified,Urban area,Not available,aOR for all MERS SARI - table S4,NA,9,2012,NA,10,2015,141_019,MERS-CoV,1,0
141,1,FALSE,1078,Gina Cuomo-Dannenburg,Risk factors,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,Comorbidity,NA,Not significant,Adjusted,Yes,Yes,Other,Both,330,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,14 ICUs across 5 cities,multiple cities,Unspecified,Urban area,Not available,"Table S4 - disaggregated by comorbidity. Some significant, others not significant, all adjusted. Outcome = 90 day mortality",NA,9,2012,NA,10,2015,141_020,MERS-CoV,1,0
99,1,FALSE,1461,Victoria Cox,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,"Hospitalisation,Other",NA,Significant,Not adjusted,No,NA,NA,Unspecified,22,Mixed settings,Mixed groups,NA,NA,"Algeria,Austria,China,Egypt,France,Greece,Italy,Malaysia,Netherlands,Philippines,Republic of Korea,Thailand,Tunisia,TÃ¼rkiye,United Kingdom of Great Britain and Northern Ireland,United States of America",NA,NA,Start outbreak,Unspecified,Yes - as an attachment,"Risk factor was for presence of secondary cases after 1 importation event (n=5 importations). The risk of secondary transmission following importation increased with the time to case isolation or death (OR = 1.7 p = 0.04) and more precisely with the duration of hospitalization (OR = 1.7, p = 0.02).",1,9,2012,31,7,2015,099_001,MERS-CoV,1,0
99,1,FALSE,1461,Victoria Cox,Risk factors,No,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,Other,NA,Not significant,Not adjusted,No,NA,NA,Unspecified,22,Mixed settings,Mixed groups,NA,NA,"Algeria,Austria,China,Egypt,France,Greece,Italy,Malaysia,Netherlands,Philippines,Republic of Korea,Thailand,Tunisia,TÃ¼rkiye,United Kingdom of Great Britain and Northern Ireland,United States of America",NA,NA,Start outbreak,Unspecified,Yes - as an attachment,Risk factor was for presence of secondary cases after 1 importation event (n=5 importations). table 2,1,9,2012,31,7,2015,099_003,MERS-CoV,1,0
99,1,FALSE,1461,Victoria Cox,Human delay - other human delay (go to section),No,No,2.33,NA,NA,NA,No,Days,Central - unspecified,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hospitalisation,Other,Isolation,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,Unspecified,NA,Mixed settings,Mixed groups,NA,NA,"Algeria,Egypt,Germany,Greece,Italy,Netherlands,Philippines,Thailand,United States of America",NA,NA,Start outbreak,Unspecified,Yes - as an attachment,"Delay from isolation to hospitalisation. Given a central value +/- some error, but this is unextracted because it is not explained. This value is for when ""attention was higher"" but this term is undefined. See pg 6 at the bottom.",1,9,2012,31,7,2015,31415,MERS-CoV,1,0
99,1,FALSE,1461,Victoria Cox,Human delay - other human delay (go to section),No,No,6.44,NA,NA,NA,No,Days,Central - unspecified,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hospitalisation,Other,Isolation,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,Unspecified,NA,Mixed settings,Mixed groups,NA,NA,"Algeria,Egypt,Germany,Greece,Italy,Netherlands,Philippines,Thailand,United States of America",NA,NA,Start outbreak,Unspecified,Yes - as an attachment,"Delay from isolation to hospitalisation. Given a central value +/- some error, but this is unextracted because it is not explained. This value is for when ""attention was lower"" but this term is undefined. See pg 6 at the bottom.",1,9,2012,31,7,2015,099_002,MERS-CoV,1,0
35,1,FALSE,1466,Alba Halliday,Human delay - other human delay (go to section),No,No,4,NA,NA,NA,No,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,IQR,NA,3,7,NA,No,Days,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,symptom onset,Other,emergency room,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,Both,158,Hospital based,Other,NA,NA,Saudi Arabia,14 participating hospitals,tertiary care hospitals,Unspecified,Unspecified,Not available,Disaggregated data: Patients who did not receive corticosteroid therapy with mean population age of 55.3 years (SD 17.3 years). Table 1,NA,9,2012,NA,10,2015,035_010,MERS-CoV,1,0
