id,parameter_data_id,covidence_id,pathogen,parameter_type,parameter_value,exponent,parameter_unit,parameter_lower_bound,parameter_upper_bound,parameter_value_type,parameter_uncertainty_single_value,parameter_uncertainty_singe_type,parameter_uncertainty_lower_value,parameter_uncertainty_upper_value,parameter_uncertainty_type,cfr_ifr_numerator,cfr_ifr_denominator,distribution_type,distribution_par1_value,distribution_par1_type,distribution_par1_uncertainty,distribution_par2_value,distribution_par2_type,distribution_par2_uncertainty,method_from_supplement,method_moment_value,cfr_ifr_method,method_r,method_disaggregated_by,method_disaggregated,method_disaggregated_only,riskfactor_outcome,riskfactor_name,riskfactor_occupation,riskfactor_significant,riskfactor_adjusted,population_sex,population_sample_type,population_group,population_age_min,population_age_max,population_sample_size,population_country,population_location,population_study_start_day,population_study_start_month,population_study_start_year,population_study_end_day,population_study_end_month,population_study_end_year,genome_site,genomic_sequence_available,other_delay_start,other_delay_end,inverse_param,parameter_from_figure,r_pathway,parameter_class
0e06f783f34b11ba33b1ab6f3d7c2d43,4e067f105337b83837cc29f08520649d,68,Lassa mammarenavirus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,NA,NA,NA,FALSE,FALSE,Serology,Age,NA,Unspecified,Unspecified,Both,Population based,General population,5,70,1677,Nigeria,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,Risk factors
0e06f783f34b11ba33b1ab6f3d7c2d43,4576be9bff854bf8fa2cf63363dd98a0,68,Lassa mammarenavirus,Seroprevalence - IFA,21.3,0,Percentage (%),13.4,37.5,Unspecified,NA,NA,NA,NA,NA,357,1677,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,NA,NA,Region,TRUE,FALSE,NA,NA,NA,NA,NA,Both,Population based,General population,5,70,1677,Nigeria,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
01164920772c52dcd07ce445ef103eae,2f33025f05160c315bc674cdc446f71b,74,Lassa mammarenavirus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,NA,NA,NA,FALSE,FALSE,Serology,Age;Other,NA,Significant,Unspecified,Both,Community based,General population,10,94,177,Nigeria,Edo State,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,Risk factors
01164920772c52dcd07ce445ef103eae,f4bad8c43f6d50399ae91753c82176a1,74,Lassa mammarenavirus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,NA,NA,NA,FALSE,FALSE,Serology,Other;Sex,NA,Not significant,Unspecified,Both,Community based,General population,10,94,177,Nigeria,Edo State,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,Risk factors
01164920772c52dcd07ce445ef103eae,25b10643b59f922b8bdec72fc953a632,74,Lassa mammarenavirus,Seroprevalence - IgG,58.2,0,Percentage (%),NA,NA,Unspecified,NA,NA,NA,NA,NA,103,177,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Community based,General population,10,94,177,Nigeria,Edo State,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
01164920772c52dcd07ce445ef103eae,67a96c9c205c786cef2ef4a5ccba5e61,74,Lassa mammarenavirus,Seroprevalence - IgM,1.1,0,Percentage (%),NA,NA,Unspecified,NA,NA,NA,NA,NA,2,177,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Community based,General population,10,94,177,Nigeria,Edo State,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
6cc9cdeb7652ce2eeb78ae9df2a3efaa,6e84b157f93a2c0e4a53d6a76ee50509,79,Lassa mammarenavirus,Seroprevalence - IFA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,Region,TRUE,FALSE,NA,NA,NA,NA,NA,Unspecified,Unspecified,Unspecified,NA,NA,277,Ethiopia,Assab; Awash; Blue Nile; Illubabor; Ogaden; Gambata; Kaffa; Sidamo (West); Wallega,NA,NA,1961,NA,NA,1983,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
59ed726111e716143c101513e5ee7a23,5a3f468f04b553892be2beb230275f2b,81,Lassa mammarenavirus,Seroprevalence - IFA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,Time;Other,TRUE,TRUE,NA,NA,NA,NA,NA,Both,Community based,Mixed groups,1,80,NA,Botswana,Chobe,NA,Dec,1984,NA,Aug,1986,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
d7e338066ff4d9487c15eceec2ee70bd,11e81c77f6372785caa027621ae96624,85,Lassa mammarenavirus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,NA,NA,NA,FALSE,FALSE,Serology,Age;Contact with animal;Other;Sex,NA,Not significant,Adjusted,Both,Population based,General population,4,99,991,Guinea,Pita; Gueckedou,NA,Feb,1993,NA,Apr,1993,NA,FALSE,NA,NA,FALSE,FALSE,NA,Risk factors
930c9a9f801f9c57ea5a5d461bf09645,899bfcf65040ff48243b76bf02991791,85,Lassa mammarenavirus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,NA,NA,NA,FALSE,FALSE,Serology,Age;Contact with animal;Other;Sex,NA,Not significant,Not adjusted,Both,Population based,General population,4,99,991,Guinea,Pita; Gueckedou,NA,Feb,1993,NA,Apr,1993,NA,FALSE,NA,NA,FALSE,FALSE,NA,Risk factors
930c9a9f801f9c57ea5a5d461bf09645,24bd8bf92cecf1ea1ef515b9e8eca3cd,85,Lassa mammarenavirus,Seroprevalence - IgG,2.6,0,Percentage (%),NA,NA,Unspecified,NA,NA,NA,NA,NA,6,232,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Population based,General population,4,87,232,Guinea,Pita,NA,Feb,1993,NA,Apr,1993,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
930c9a9f801f9c57ea5a5d461bf09645,8f1ca989c951b8f9f3423086947db9ce,85,Lassa mammarenavirus,Seroprevalence - IgG,14,0,Percentage (%),9.8,29.5,Unspecified,NA,NA,NA,NA,NA,105,751,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,NA,NA,Age;Sex,TRUE,FALSE,NA,NA,NA,NA,NA,Both,Population based,General population,4,99,751,Guinea,Gueckedou,NA,Feb,1993,NA,Apr,1993,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
13cdef32a7a9576e547c45ab06c3a4fe,90c8a2cc387e87279b36c040c288fb2d,88,Lassa mammarenavirus,Seroprevalence - IgG,14,0,Percentage (%),NA,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Unspecified,Population based,General population,NA,NA,NA,Guinea,Gueckedou,NA,NA,1993,NA,NA,1993,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
13cdef32a7a9576e547c45ab06c3a4fe,90e9a5b16b6ca5caf5e2bfb065d482d1,88,Lassa mammarenavirus,Seroprevalence - IgG,2.6,0,Percentage (%),NA,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Unspecified,Population based,General population,NA,NA,NA,Guinea,Pita,NA,NA,1993,NA,NA,1993,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
13cdef32a7a9576e547c45ab06c3a4fe,70cc00f3b76762f6eedbef05332a13da,88,Lassa mammarenavirus,Seroprevalence - IgG,12.1,0,Percentage (%),NA,NA,Unspecified,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Unspecified,Unspecified,Unspecified,NA,NA,99,Liberia,Bong County,NA,NA,1985,NA,NA,1985,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
13cdef32a7a9576e547c45ab06c3a4fe,2a3e4006251cda13a64d3a67cc52e2cb,88,Lassa mammarenavirus,Seroprevalence - IgG,0,0,Percentage (%),NA,NA,Unspecified,NA,NA,NA,NA,NA,NA,94,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Unspecified,Hospital based,Other,NA,NA,94,Germany,Hamburg,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
13cdef32a7a9576e547c45ab06c3a4fe,bd2ea804227919b0d2ded02f81c62c8f,88,Lassa mammarenavirus,Seroprevalence - IgG,0,0,Percentage (%),NA,NA,Unspecified,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Unspecified,Unspecified,Other,NA,NA,150,Germany,Hamburg,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
92f979111ccebf8764e7f09af3edbe1b,31ba2217f14ea396574c35c622066daf,88,Lassa mammarenavirus,Seroprevalence - Unspecified,0.7,0,Percentage (%),NA,NA,Unspecified,NA,NA,NA,NA,NA,1,150,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Unspecified,Unspecified,Other,NA,NA,150,Germany,Hamburg,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
92f979111ccebf8764e7f09af3edbe1b,0b2e1b40c1b5cb5a127901be7183032b,88,Lassa mammarenavirus,Human delay - symptom onset>admission to care,4.3,0,Days,NA,NA,Mean,NA,NA,1,14,Range,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Unspecified,Hospital based,Persons under investigation,NA,NA,12,Guinea,Gueckedou,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,Human delay
92f979111ccebf8764e7f09af3edbe1b,4bfbb72319446b1defa8478c6257bc70,88,Lassa mammarenavirus,Severity - case fatality rate (CFR),33.3,0,Percentage (%),NA,NA,Unspecified,NA,NA,NA,NA,NA,4,12,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,Naive,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Unspecified,Hospital based,Persons under investigation,NA,NA,12,Guinea,Gueckedou,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,Severity
92f979111ccebf8764e7f09af3edbe1b,fbf43b7e11c79c92c533bc3c07d60d3b,88,Lassa mammarenavirus,Seroprevalence - IgG,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,12,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Unspecified,Hospital based,Persons under investigation,NA,NA,12,Guinea,Gueckedou,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
92f979111ccebf8764e7f09af3edbe1b,845f42d1192b9a622f2c8d1de0019119,88,Lassa mammarenavirus,Seroprevalence - IgM,91.7,0,Percentage (%),NA,NA,Unspecified,NA,NA,NA,NA,NA,11,12,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Unspecified,Hospital based,Persons under investigation,NA,NA,12,Guinea,Gueckedou,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
92f979111ccebf8764e7f09af3edbe1b,371ea7afd5283c28350695c0e590d632,88,Lassa mammarenavirus,Seroprevalence - IgM,75,0,Percentage (%),NA,NA,Unspecified,NA,NA,NA,NA,NA,9,12,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Unspecified,Hospital based,Persons under investigation,NA,NA,12,Guinea,Gueckedou,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
92f979111ccebf8764e7f09af3edbe1b,d4dc0ea1e75f9bd4b7354fde24e1fe5c,88,Lassa mammarenavirus,Seroprevalence - IgM,14.9,0,Percentage (%),NA,NA,Unspecified,NA,NA,NA,NA,NA,7,47,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Unspecified,Hospital based,Other,NA,NA,47,Guinea,Gueckedou,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
92f979111ccebf8764e7f09af3edbe1b,6d4270fe480d863bea3728cc25ac8d59,88,Lassa mammarenavirus,Seroprevalence - IgM,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Unspecified,Hospital based,Other,NA,NA,7,Guinea,Gueckedou,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
6ed59e28ccc2eef7c923b0d259231798,2a24004e7c7490e656909f19a2fb4df1,130,Lassa mammarenavirus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,NA,FALSE,FALSE,Serology,Age;Other,NA,Significant,Adjusted,Both,Community based,General population,0,83,600,Mali,Bougouni District,NA,Feb,2015,NA,Feb,2015,NA,FALSE,NA,NA,FALSE,FALSE,NA,Risk factors
6ed59e28ccc2eef7c923b0d259231798,6df64fac5699a2af77656c1307119124,130,Lassa mammarenavirus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,NA,FALSE,FALSE,Serology,Sex,NA,Not significant,Adjusted,Both,Community based,General population,0,83,600,Mali,Bougouni District,NA,Feb,2015,NA,Feb,2015,NA,FALSE,NA,NA,FALSE,FALSE,NA,Risk factors
6ed59e28ccc2eef7c923b0d259231798,abec160c0d492608f38040402cfedc1a,130,Lassa mammarenavirus,Seroprevalence - IgG,33.2,0,Percentage (%),5,57.1,Unspecified,NA,NA,29.4,37.1,CI95%,199,600,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,Age;Region;Sex,TRUE,FALSE,NA,NA,NA,NA,NA,Both,Community based,General population,0,83,600,Mali,Bougouni District,NA,Feb,2015,NA,Feb,2015,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
6ed59e28ccc2eef7c923b0d259231798,0607671fdbc9b09bad6f6b396f57b3ad,130,Lassa mammarenavirus,Seroprevalence - IgM,0.67,0,Percentage (%),NA,NA,Unspecified,NA,NA,NA,NA,NA,4,600,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,Region,TRUE,FALSE,NA,NA,NA,NA,NA,Both,Community based,General population,0,83,600,Mali,Bougouni District,NA,Feb,2015,NA,Feb,2015,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
49eb024d2712105290dedd2dd5323c08,169e01ec11313535cc2a15589f00f186,167,Lassa mammarenavirus,Severity - case fatality rate (CFR),36,0,Percentage (%),NA,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,Unspecified,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,Persons under investigation,NA,NA,11,Nigeria,Plateau State,NA,Jan,2016,NA,Aug,2016,NA,FALSE,NA,NA,FALSE,FALSE,NA,Severity
c175e69252d43049ed0b6e039522f7a0,bb0e1826b0e2fc289f5e65d82ac1e717,167,Lassa mammarenavirus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,NA,FALSE,FALSE,Infection,Age;Occupation;Other;Sex,Education;Healthcare;Livestock and animal herders;Other,Not significant,Not adjusted,Both,Hospital based,Persons under investigation,NA,NA,34,Nigeria,Plateau State,NA,Jan,2016,NA,Aug,2016,NA,FALSE,NA,NA,FALSE,FALSE,NA,Risk factors
db349967bcba352945dcb2e0643967ed,fc4e62e6bdb99a9845ced206764c7ddd,168,Lassa mammarenavirus,Seroprevalence - Unspecified,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,50,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,Children,NA,NA,50,Sierra Leone,Segbwema,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
db349967bcba352945dcb2e0643967ed,dbb39f89af72f1b922a6610fe709ce8f,168,Lassa mammarenavirus,Seroprevalence - Unspecified,NA,0,Percentage (%),0,29.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,NA,Age,TRUE,TRUE,NA,NA,NA,NA,NA,Unspecified,Household based,Children,0,14,NA,Sierra Leone,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
0173b29dde27c00b828b19488e322c4e,41a854b5c6c6660134147cfc8cc140a9,174,Lassa mammarenavirus,Severity - case fatality rate (CFR),69,0,Percentage (%),8,93,Unspecified,NA,NA,NA,NA,NA,109,158,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,Adjusted,NA,Method,TRUE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,Persons under investigation,NA,NA,1740,Sierra Leone,Kenema Government Hospital,NA,NA,2008,NA,NA,2012,NA,FALSE,NA,NA,FALSE,FALSE,NA,Severity
0173b29dde27c00b828b19488e322c4e,ba5610b51ea1e7e7f674a24bf1dc991e,174,Lassa mammarenavirus,Seroprevalence - IgM,NA,0,Percentage (%),3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,NA,NA,Method;Other;Time,TRUE,TRUE,NA,NA,NA,NA,NA,Both,Hospital based,Persons under investigation,NA,NA,1740,Sierra Leone,Kenema Government Hospital,NA,NA,2008,NA,NA,2012,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
0173b29dde27c00b828b19488e322c4e,511bb1ab74480ca83692a60797d68274,174,Lassa mammarenavirus,Seroprevalence - IgG,18,0,Percentage (%),NA,NA,Unspecified,NA,NA,NA,NA,NA,125,688,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,Persons under investigation,NA,NA,688,Sierra Leone,Kenema Government Hospital,NA,NA,2011,NA,NA,2012,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
0173b29dde27c00b828b19488e322c4e,8b9010d5ed0d913d9b481e57149d07c4,174,Lassa mammarenavirus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,NA,NA,NA,FALSE,FALSE,Death,Sex,NA,Not significant,Unspecified,Both,Hospital based,Persons under investigation,NA,NA,1740,Sierra Leone,Kenema Government Hospital,NA,NA,2008,NA,NA,2012,NA,FALSE,NA,NA,FALSE,FALSE,NA,Risk factors
