Article_ID,Pathogen,Covidence_ID,FirstAauthor_Surname,Article_title,DOI,Journal,Year_publication,Volume,Issue,Page_first,Page_last,Name_data_entry,Paper_copy_only,Notes,FirstAuthor_FirstName,QA_M1,QA_M2,QA_A3,QA_A4,QA_D5,QA_D6,QA_D7,Covidence_ID_text,ID
11,Zika virus,564,Terefe,Zika is a flavivirus transmitted to humans through either the bite of infected Aedes mosquitoes or sexual intercourse with infected individuals. In this paper; we present a mathematical model based on these two modes of transmission. Using the next-generation matrix method; a threshold parameter called basic reproduction number is determined. Sensitivity analysis of the basic reproduction number in terms of parameters involved in its formulation is discussed. A dynamically consistent nonstandard finite difference scheme is designed to replicate the properties of the continuous model. Numerical simulations of the nonstandard finite difference scheme that we have constructed show the number of infected humans due to sexual intercourse with Zika virus infectious individuals. The numerical simulations also support the theoretical analysis of the model.,10.1007/s12064-018-0272-7,Theory Biosci,2018,137,2,209,218,Anna Vicco,FALSE,NA,Y.A.,Yes,Yes,Yes,Yes,NA,NA,NA,564,e683b20d3ace5ae880e863595a7078f5
12,Zika virus,1466,Saad-Roy,Estimation of Zika virus prevalence by appearance of microcephaly,10.1186/s12879-016-2076-z,BMC Infect Dis,2016,16,1,754,NA,Anna Vicco,FALSE,NA,C.M.,NA,NA,Yes,Yes,NA,NA,NA,1466,a7b919dea1bb1db736e5ac32b0fd159f
13,Zika virus,390,Tuncer,Structural and Practical Identifiability Analysis of Zika Epidemiological Models,10.1007/s11538-018-0453-z,Bull Math Biol,2018,80,8,2209,2241,Anna Vicco,FALSE,NA,Necibe,Yes,No,Yes,Yes,No,Yes,No,390,ee934959539e091ce1336413de058608
1,Zika virus,1352,Pastorino,Low Zika Virus Seroprevalence in Vientiane; Laos; 2003–2015,10.4269/ajtmh.18-0439,Am J Trop Med Hyg,2019,100,3,639,642,Anna-Maria Hartner,FALSE,Wasn't sure on extracting only disaggregated values -- so did both the sex-disaggregated and the combined values.,Boris,Yes,Yes,NA,NA,Yes,Yes,No,1352,2bd43881e3fcf6a3ca0abbd3fa62e2bf
2,Zika virus,1461,Villarroel,Zika virus epidemiology in Bolivia: A seroprevalence study in volunteer blood donors,10.1371/journal.pntd.0006239,PLoS Negl Trop Dis,2018,12,3,NA,NA,Anna-Maria Hartner,FALSE,NA,Saba,Yes,Yes,NA,NA,Yes,Yes,No,1461,483ca6f607097d0f75d0bb10d8935136
3,Zika virus,483,Zambrana,Seroprevalence; risk factor; and spatial analyses of Zika virus infection after the 2016 epidemic in Managua; Nicaragua,10.1073/pnas.1804672115,Proc Natl Acad Sci U S A,2018,15,37,9294,9299,Anna-Maria Hartner,FALSE,ELISA used for seroprevalence study,J.V.,Yes,No,NA,NA,Yes,Yes,No,483,dda399a4b2ced5095a383378372f8bfa
4,Zika virus,659,Seruyange,Seroprevalence of Zika virus and Rubella virus IgG among blood donors in Rwanda and in Sweden,10.1002/jmv.25198,J Med Virol,2018,90,8,1290,1296,Anna-Maria Hartner,FALSE,NA,E,Yes,No,NA,NA,Yes,No,No,659,426aa2aea75d995ca5314b4fce6f78c3
5,Zika virus,430,Tonsing,Profile likelihood-based analyses of infectious disease models,10.1177/0962280217746444,Stat Methods Med Res,2018,27,7,1979,1998,Anna-Maria Hartner,FALSE,"SEIR-SEI model with modifications; inc. asymptomtic humans; symptomatic humans; and convolescent humans.
Uncertainty is Profile likelihood-based.",C,Yes,No,Yes,No,No,No,No,430,9c04dfe6a2f9acb363185a96d87928d1
6,Zika virus,1821,Marini,First outbreak of Zika virus in the continental United States: a modelling analysis,10.2807/1560-7917.es.2017.22.37.30612,Euro Surveill,2017,22,37,NA,NA,Anna-Maria Hartner,FALSE,"Intervention just specified as ""vector control""",G,No,No,Yes,No,Yes,No,No,1821,ed2e15ef94a2a9d4d4b90d9186a7777e
3,Zika virus,17,Ziyaeyan,Widespread circulation of West Nile virus; but not Zika virus in southern Iran,10.1371/journal.pntd.0007022,PLOS Neglected Tropical Diseases,2018,12,12,NA,NA,Christian,FALSE,"Paper also has details on seroprevalence in vector (also zero).
Sera samples collection of previous use / leftover sera. (essentially a convenience sample)",Mazyar,Yes,Yes,NA,NA,Yes,Yes,Yes,17,027e7846400ea3c6e36728afd902892d
4,Zika virus,1461,Saba Villarroel,Zika virus epidemiology in Bolivia: A seroprevalence study in volunteer blood donors,10.1371/journal.pntd.0006239,PLOS Neglected Tropical Diseases,2018,12,3,NA,NA,Christian,FALSE,"Reported seroprevalence is IgG followed by VNT (virus neutralization test) to deal with Dengue and Chikungunya cross reactivity.
This is based on blood samples of regional blood banks.",Paola Mariela,Yes,Yes,NA,NA,Yes,Yes,No,1461,3b89cd7db8a8b34ba4cc09d994e10dbe
5,Zika virus,947,Riou,A comparative analysis of Chikungunya and Zika transmission,10.1016/j.epidem.2017.01.001,Epidemics,2017,19,NA,43,52,Christian,FALSE,"Attack rates available in figure.
Overdispersion parameter stated as phi rather than phi^-1 (in analysis should invert to make comparable to other extracted parameters).
Report on impact of weather variables.
Stan code available in supplement.",Julien,Yes,Yes,Yes,Yes,Yes,Yes,Yes,947,1d346821df9d4e65b786d7ba806bd2be
6,Zika virus,454,Zhang,Spread of Zika virus in the Americas,10.1073/pnas.1620161114,PNAS,2017,114,22,NA,NA,Christian,FALSE,Has R0 but only in Figure (3).,Qian,Yes,Yes,Yes,Yes,Yes,Yes,No,454,0073a765a1a9833a1a65f059c6c0b8de
1,Zika virus,1475,Ryan,Outbreak of Zika Virus Infections; Dominica; 2016,10.3201/eid2311.171140,Emerging Infectious Diseases,2017,23,11,1926,1927,Christian,FALSE,Reports only simple counts for 2016 outbreak in Dominica,Sadie J.,NA,NA,NA,NA,No,No,NA,1475,9fe1e7f6a9e1629b2433e6a9fd203404
2,Zika virus,728,Sasmono,Zika Virus Seropositivity in 1-4-Year-Old Children; Indonesia; 2014,10.3201/eid2409.180582,Emerging Infectious Diseases,2018,24,9,1740,1743,Christian,FALSE,Paper also resports seropositivity for suspected zika cases and generic Flavivirus seropositives (in cases for which it can't be determined if infection was Zika or DENV),R. Tedjo,Yes,Yes,NA,NA,Yes,Yes,No,728,41b78e84f9274ed77a1972f26e43c914
1,Zika virus,17,Ziyaeyan,Widespread circulation of West Nile virus; but not Zika virus in southern Iran,10.1371/journal.pntd.0007022,PLoS Negl Trop Dis,2018,12,12,NA,NA,Dominic Dee,FALSE,NA,Mazyar,Yes,Yes,NA,NA,Yes,No,No,17,769f9ee83c41f2491d9d3c14ef2b3dcf
2,Zika virus,367,Valega-Mackenzie,Can Vaccination Save a Zika Virus Epidemic?,10.1007/s11538-018-0393-7,Bull Math Biol,2018,80,3,598,625,Dominic Dee,FALSE,NA,Wencel,Yes,Yes,Yes,Yes,NA,NA,NA,367,877c8f0789eebc7a2eb141b6d6477bb9
3,Zika virus,556,Tesla,Temperature drives Zika virus transmission: evidence from empirical and mathematical models,10.1098/rspb.2018.0795,Proc Biol Sci,2018,285,1884,NA,NA,Dominic Dee,FALSE,"""Other"" disaggregation is by temperature",Blanka,Yes,Yes,Yes,Yes,Yes,Yes,Yes,556,68c44351cc680fdf8d1e081b9fab6104
4,Zika virus,1587,Mordecai,Detecting the impact of temperature on transmission of Zika; dengue; and chikungunya using mechanistic models,10.1371/journal.pntd.0005568,PLoS Negl Trop Dis,2017,11,4,NA,NA,Dominic Dee,FALSE,"Reported as ""transmission"" model but in fact is restricted to temperature-dependent model of ""relative R0"". Uses labroratory data of DENV mosquito parameters; no ZIKV data inlcuded in model due to lack of available data; but model is extrapolated to ZIKV.",Erin,Yes,Yes,Yes,Yes,NA,NA,NA,1587,7bb5694a275805b352c740ba8f131895
5,Zika virus,946,Riou,Improving early epidemiological assessment of emerging Aedes-transmitted epidemics using historical data,10.1371/journal.pntd.0006526,PLoS Negl Trop Dis,2018,12,6,NA,NA,Dominic Dee,FALSE,NA,Julien,Yes,Yes,Yes,Yes,Yes,Yes,Yes,946,03e7ee71c8aef2a1e34f01c5d5270383
6,Zika virus,1534,Muñoz,Could the Recent Zika Epidemic Have Been Predicted?,10.3389/fmicb.2017.01291,Front Microbiol,2017,8,NA,NA,NA,Dominic Dee,FALSE,NA,Ángel,Yes,Yes,No,No,NA,NA,NA,1534,18ebd7552bd79306119cf025cc5a53f4
1,Zika virus,506,Yokoyama,"Possible Roles of New Mutations Shared by Asian and American
Zika Viruses",10.1093/molbev/msw270,Mol Biol Evol,2017,34,3,525,534,Ettie Unwin,FALSE,Also has history of evolution of Zika historically that didn't extract,Shozo,Yes,Yes,No,No,No,No,No,506,b5f8e4778e930bcae990141d3f512f49
2,Zika virus,1508,O'Reilly,"Projecting the end of the Zika virus epidemic in Latin America: a modelling
analysis",10.1186/s12916-018-1158-8,BMC Medicine,2018,16,180,NA,NA,Ettie Unwin,FALSE,NA,Kathleen,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1508,ba5191dade90f2489e694a6db6bee7b2
3,Zika virus,1579,Moreno,Role of short-term dispersal on the dynamics of Zika virus in an extreme idealized environment,10.1016/j.idm.2016.12.002,Infectious Disease Modelling,2017,2,1,21,34,Ettie Unwin,FALSE,NA,Victor,Yes,Yes,Yes,Yes,NA,NA,NA,1579,e581278823146fa0428aaa5b586739a6
4,Zika virus,1821,Marini,"First outbreak of Zika virus in the continental United 
States: a modelling analysis",10.2807/1560-7917.ES.2017.22.37.30612,Eurosurveillance,2017,22,37,NA,NA,Ettie Unwin,FALSE,Poor QA as equations and method aren't provided,G,No,No,No,No,Yes,No,No,1821,db158a669912bd5caad65e0e5d282ede
5,Zika virus,1841,Manore,"Defining the Risk of Zika and Chikungunya
Virus Transmission in Human Population
Centers of the Eastern United States","10.1371/
journal.pntd.0005255",PLOS Neglected Tropical Diseases,2017,11,1,NA,NA,Ettie Unwin,FALSE,NA,Carrie,Yes,Yes,Yes,Yes,NA,NA,NA,1841,55f08c8ee5f50da76bc46fcf9ff6f749
1,Zika virus,1405,P.,Computational and Mathematical Methods to Estimate the Basic Reproduction Number and Final Size for Single-Stage and Multistage Progression Disease Models for Zika with Preventative Measures,https://doi.org/10.1155/2017/4290825,Computational and Mathematical Methods in Medicine,2017,NA,4290825,NA,NA,Ilaria,FALSE,NA,Padmanabhan,Yes,No,Yes,No,No,NA,NA,1405,ad16914b01f56e66c9f78e8b15358164
2,Zika virus,268,D.A.M.,Zika in Rio de Janeiro: Assessment of basic reproduction number and comparison with dengue outbreaks,doi:10.1017/S0950268817000358,Epidemiol. Infect.,2017,145,NA,1649,1657,Ilaria,FALSE,NA,Villela,Yes,Yes,Yes,Yes,Yes,No,Yes,268,06ab3ef43f032c6f7ea2b82a504df78d
3,Zika virus,674,C.R.,Real-time parameter estimation of Zika outbreaks using model averaging,doi:10.1017/S0950268817001078,Epidemiol. Infect.,2017,145,NA,2313,2323,Ilaria,FALSE,NA,Sebrango-Rodriguez,Yes,No,Yes,Yes,Yes,No,No,674,35037fe7b0c895dd256a25899e3e932a
4,Zika virus,927,J,Assessing Seasonal Risks for the Introduction and Mosquito-borne Spread of Zika Virus in Europe,http://dx.doi.org/10.1016/j.ebiom.2016.06.009,EBioMedicine,2016,9,NA,250,256,Ilaria,FALSE,NA,Rocklov,Yes,Yes,Yes,Yes,Yes,Yes,Yes,927,5f51c8eb9cd239665614fd21c5cf9c68
1,Zika virus,422,Towers,Estimate of the reproduction number of the 2015 Zika virus outbreak in Barranquilla; Colombia; and estimation of the relative role of sexual transmission,10.1016/j.epidem.2016.10.003,Epidemics,2016,17,NA,50,55,Keith,FALSE,NA,Sherry,Yes,Yes,Yes,Yes,Yes,NA,NA,422,a7c20ebeebef0cf7039d68563055a8d2
2,Zika virus,564,Terefe,Mathematics of a model for Zika transmission dynamics,10.1007/s12064-018-0272-7,Theory in Biosciences,2018,137,NA,209,218,Keith,FALSE,NA,Y.A.,NA,NA,NA,NA,NA,NA,NA,564,746e9ab06cc4ee9a5ce6645d21d733b4
3,Zika virus,890,Rojas,The epidemiology and transmissibility of Zika virus in Girardot and San Andres island; Colombia; September 2015 to January 2016,10.2807/1560-7917.es.2016.21.28.30283,Eurosurveillance,2016,21,28,1,10,Keith,FALSE,NA,D.P.,NA,Yes,Yes,Yes,Yes,NA,NA,890,1e812fe133213abee5e5f1f185968745
4,Zika virus,913,Rodriguez-Barraquer,Impact of preexisting dengue immunity on Zika virus emergence in a dengue endemic region,10.1126/science.aav6618,Science,2019,363,NA,607,610,Keith,FALSE,NA,Isabel,Yes,Yes,Yes,Yes,Yes,NA,NA,913,a403d3640eb4f5c6b9fb8e67208fbff9
5,Zika virus,1154,Siraj,Assessing the population at risk of Zika virus in Asia – is the emergency really over?,10.1136/bmjgh-2017-000309,British Medical Journal Global Health,2017,2,NA,NA,NA,Keith,FALSE,No issue/page number; article number e000309.,Amir S,NA,NA,NA,NA,NA,NA,NA,1154,d774d9e6bbfa3bef24552e81cbaa8384
2,Zika virus,717,Scata,The Impact of Heterogeneity and Awareness in Modeling Epidemic Spreading on Multiplex Networks,10.1038/srep37105,Nature Scientific Reports,2016,6,37105,NA,NA,Kelly M,FALSE,NA,Marialisa,Yes,Yes,Yes,Yes,NA,NA,NA,717,542dc76262d01542d912b69874cce7d5
3,Zika virus,946,Riou,Improving early epidemiological assessment of emerging Aedes-transmitted epidemics using historical data,10.1371/journal.pntd.0006526,PLoS Neglected Tropical Diseases,2018,12,6,NA,NA,Kelly M,FALSE,"""Other"" disaggregation is by type of prior. R estimates are in SI; but plots are in main text",Julien,Yes,Yes,Yes,Yes,Yes,Yes,Yes,946,a2862e701515a50c03b7fbe6fac4be3a
4,Zika virus,1467,Saad-Roy,The effect of sexual transmission on Zika virus dynamics,10.1007/s00285-018-1230-1,Mathematical Biology,2018,77,NA,1917,1941,Kelly M,FALSE,NA,C.M.,Yes,Yes,Yes,Yes,NA,NA,NA,1467,c4601d2608d04ca9dd915942280729ab
5,Zika virus,1841,Manore,Defining the risk of Zika and Chikungunya Virus Transmission in Human Population Centers of the Eastern United States,10.1371/journal.pntd.0005255,PLoS Neglected Tropical Diseases,2017,11,1,NA,NA,Kelly M,FALSE,NA,Carrie A.,Yes,Yes,Yes,Yes,NA,NA,NA,1841,2cf43e12080a8d80945ae79f2f2a4480
6,Zika virus,248,Wang,Modeling the transmission and control of Zika in Brazil,10.1038/s41598-017-07264-y,Nature Scientific Reports,2017,7,7721,NA,NA,Kelly M,FALSE,NA,Liping,Yes,Yes,Yes,Yes,Yes,No,Yes,248,e6d6c0aada6f52741aa92a8da887441b
7,Zika virus,1405,Padmanabhan,Computational and Mathematical Methods to Estimate the Basic Reproduction Number and Final Size for Single-Stage and Multistage Progression Disease Models for Zika with Preventative Measures,10.1155/2017/4290825,Computational and Mathematical Methods in Medicine,2017,2017,NA,NA,NA,Kelly M,FALSE,NA,P.,Yes,Yes,Yes,Yes,NA,NA,NA,1405,687726e7881b0ab6110aefb196ea5d73
8,Zika virus,1308,Perkins,Model-based projections of Zika virus infections in childbearing women in the Americas,10.1038/NMICROBIOL.2016.126,Nature Microbiology,2016,1,NA,NA,NA,Kelly M,FALSE,NA,T. Alex,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1308,5d690c3245743df42d1015e299140af1
9,Zika virus,1466,Saad-Roy,Estimation of Zika virus prevalence by appearance of microcephaly,10.1186/s12879-016-2076-z,BMC Infectious Diseases,2015,16,754,NA,NA,Kelly M,FALSE,NA,C.M.,Yes,Yes,Yes,No,NA,NA,NA,1466,253fef7ea118366ac336d8763a0cb6e9
10,Zika virus,588,Schutt,Estimating the reproductive number; total outbreak size; and reporting rates for Zika epidemics in South and Central America,10.1016/j.epidem.2017.06.005,Epidemics,2017,21,NA,63,79,Kelly M,FALSE,Extracted R human to vector as human and R vector to human as vector,Deborah P.,Yes,Yes,Yes,Yes,Yes,Yes,No,588,057fc032e713a1ef9855b67a09b2ee8f
11,Zika virus,1579,Moreno,Role of short-term dispersal on the dynamics of Zika virus in an extreme idealized environment,10.1016/j.idm.2016.12.002,Infectious Disease Modelling,2017,2,NA,21,34,Kelly M,FALSE,NA,Victor M.,Yes,Yes,Yes,No,NA,NA,NA,1579,d06013e33bff225bf0af0467272e47c5
12,Zika virus,927,Rocklov,Assessing Seasonal Risks for the Introduction and Mosquito-borne Spread of Zika Virus in Europe,10.1016/j.ebiom.2016.06.009,EBioMedicine,2016,9,NA,250,256,Kelly M,FALSE,Unclear if these outbreaks were ongoing or not,Joacim,No,No,Yes,Yes,No,Yes,No,927,16f97fa8a34ea65fbc4020042bcb2cce
13,Zika virus,1618,Moghadas,Asymptomatic Transmission and the Dynamics of Zika Infection,10.1038/s41598-017-05013-9,Scientific Reports,2017,7,5829,NA,NA,Kelly M,FALSE,NA,Seyed M.,Yes,Yes,Yes,Yes,NA,NA,NA,1618,5af162477267270d69bc6293da7ea5be
1,Zika virus,435,Tognarelli,A report on the outbreak of Zika virus on Easter Island; South Pacific; 2014,Please check if the seroprevalence antibodies being tested for (IgG or IgM) are mentioned; irrespective of assay used; if so; extract using 'Seroprevalence - IgG/IgM' as the parameter name; if not; extract using 'Seroprevalence - Assay Name’.,Arch Virol,2016,161,NA,665,668,Kelly M,FALSE,NA,J.,Yes,Yes,NA,NA,Yes,No,No,435,839a729a72edf2a9f5e9389f5e5fbd07
1,Zika virus,483,Zambrana,Seroprevalence; risk factor; and spatial analyses of Zika virus infection after the 2016 epidemic in Managua; Nicaragua,10.1073/pnas.1804672115,PNAS,2018,115,37,9294,9299,Patrick,FALSE,"ELISA assay for ""total anti-ZIKV NS1 antibodies"". Serology and RFs for 3 groups: pediatric cohort (group=children); a general-household cohort (group=general pop) and an adult-only subset of general-household group (group=other).",José,Yes,Yes,NA,NA,Yes,Yes,No,483,d4f95e1d7c8a2be7da8ba800b8daaf61
2,Zika virus,913,Rodriguez-Barraquer,Impact of preexisting dengue immunity on Zika virus emergence in a dengue endemic region,10.1126/science.aav6618,Science,2019,363,NA,607,610,Patrick,FALSE,ID19 is sero for a subset of ID18 (i.e. those with Dengue samples; group=other) and IDs20-27 are serology risk factors for this subset. IDs20-21 are sig differences; 24-27 logistic regression. RF sensitivity analysis available but not extracted.,Isabel,Yes,Yes,Yes,Yes,Yes,No,No,913,360ce41004559fe9bae5ec63c796b14b
3,Zika virus,1121,Soghaier,Evidence of pre-existing active Zika virus circulation in Sudan prior to 2012,10.1186/s13104-018-4027-9,BMC Research Notes,2018,11,906,NA,NA,Patrick,FALSE,Zika IgG seroprevalence and risk factors among people who tested positive for yellow fever (group=other). PRNT seroprevalence among Zika IgG positive too.,Mohammed,Yes,No,NA,NA,Yes,Yes,No,1121,d36dc27eae88afd31b5fa9bcf48ffcbd
4,Zika virus,1534,Muñoz,Could the Recent Zika Epidemic Have Been Predicted?,10.3389/fmicb.2017.01291,Frontiers in Microbiology,2017,8,1291,NA,NA,Patrick,FALSE,NA,Ángel,Yes,Yes,Yes,Yes,NA,NA,NA,1534,b60d75db3e3eac620504eba81ea8b616
1,Zika virus,162,Wilcox,Seroepidemiology of dengue; zika; and yellow fever viruses among children in the democratic republic of the Congo,10.4269/ajtmh.18-0156,American Journal of Tropical Medicine and Hygiene,2018,99,3,756,763,Richard Sheppard,FALSE,This study reports both basic IgG seroprevalence; but then prevalence of neutralising antibodies (under PRNT),Alexandra,Yes,No,NA,NA,Yes,Yes,No,162,f2a3e4fbe223909633a61319bba873dd
2,Zika virus,390,Tuncer,Structural and Practical Identifiability Analysis of Zika Epidemiological Models,10.1007/s11538-018-0453-z,Bulletin of Mathematical Biology,2018,80,8,2209,2241,Richard Sheppard,FALSE,This paper presents six models: all with vector transmission; but some with human-human transmission.,Necibe,Yes,No,Yes,Yes,Yes,No,No,390,c602375a042ba9b694f322f42f98a7e0
3,Zika virus,1352,Pastorino,Low Zika virus seroprevalence in Vientiane; Laos; 2003–2015,10.4269/ajtmh.18-0439,American Journal of Tropical Medicine and Hygiene,2019,100,3,639,642,Richard Sheppard,FALSE,This paper reports sero & neutralising antibodies (PRNT) for two time periods (2003-2004 & 2015) with 95% Cis (which they then disaggregate by gender); so could be worth extracting those seperately; but for the time being I've followed the wiki guidance.,Boris,Yes,No,No,No,Yes,Yes,No,1352,31118c6d905713b6a52db240bf0117df
4,Zika virus,556,Tesla,Temperature drives Zika virus transmission: evidence from empirical and mathematical models,10.1098/rspb.2018.0795,Proceedings of the Royal Society B: Biological Sciences,2018,285,NA,NA,NA,Richard Sheppard,FALSE,Thermal response curves; fitted to non-case/death data: disaggregated by temp.,Blanka,Yes,Yes,Yes,Yes,Yes,Yes,No,556,3db29b0eb07ec54e749db8c394da948f
5,Zika virus,1679,Méndez,Zika virus disease; microcephaly and Guillain-Barré syndrome in Colombia: Epidemiological situation during 21 months of the Zika virus outbreak; 2015-2017,10.1186/s13690-017-0233-5,Archives of Public Health,2017,75,NA,NA,NA,Richard Sheppard,FALSE,Lots of attack rates! Disaggregated also by pregnant women population subset; and by suspected/PCR confirmed cases.,Nelson,Yes,Yes,Yes,Yes,Yes,Yes,No,1679,0d8b5564a7742b227124ca04b24da9c8
6,Zika virus,873,Rosenberg,Prevalence and Incidence of Zika Virus Infection among Household Contacts of Patients with Zika Virus Disease; Puerto Rico; 2016-2017,10.1093/infdis/jiy689,Journal of Infectious Diseases,2019,220,6,932,939,Richard Sheppard,FALSE,Sero is for neutralising antibodies.,Eli,Yes,No,Yes,Yes,Yes,Yes,No,873,91c0ccd849ecd0e58b497422175c741d
1,Zika virus,66,Yakob,Low risk of a sexually-transmitted Zika virus outbreak,10.1016/s1473-3099(16)30324-3,Lancet Infect Dis,2016,16,10,1100,1102,Rob Johnson,FALSE,Intervals: 7.5 to 12.25,L,Yes,No,No,No,No,No,No,66,bf7c6f43e78d46f7b39b427e8f88fb1f
