Article_ID,ID,Parameter_data_ID,Parameter_type,Parameter.value,Exponent,Parameter.unit,Parameter.lower.bound,Parameter.upper.bound,Parameter.value.type,Parameter.uncertainty...single.value,Parameter.uncertainty...singe.type,Parameter.uncertainty...lower.value,Parameter.uncertainty...upper.value,Parameter.uncertainty...type,CFR_IFR_numerator,CFR_IFR_denominator,Distribution_type,Distribution_par1_value,Distribution_par1_type,Distribution_par1_uncertainty,Distribution_par2_value,Distribution_par2_type,Distribution_par2_uncertainty,Method_from_supplement,Method_moment_value,CFR_IFR_Method,Method_R,Method_disaggregated_by,Method_disaggregated,Method_disaggregated_only,Riskfactor_outcome,Riskfactor_name,Riskfactor_occupation,Riskfactor_significant,Riskfactor_adjusted,Population_sex,Population_sample_type,Population_group,Population_age_min,Population_age_max,Population_sample_size,Population_country,Population_location,Population_study_start_day,Population_study_start_month,Population_study_start_year,Population_study_end_day,Population_study_end_month,Population_study_end_year,Genome_site,Genomic_sequence_available,Other_delay_start,Other_delay_end,Inverse_param,Ebola.variant
37,933ac0ea6e7c75f1e4e08956fdb4ad0f,6e641d046389920833b71adde0139b4e,Human delay - infectious period,NA,NA,Days,10.92,12.84,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,1,,,,39,1,1,,39,39,,,,,,NA,NA,NA,39,,25,May 05,2014,25,Jan 01,2015,,0,,,0,39
37,933ac0ea6e7c75f1e4e08956fdb4ad0f,cc72c1deab61a847f258289533875abe,Mutations - evolutionary rate,10.93,-4,Substitutions/site/year,7.66,23.14,Other,NA,,0.52,24.61,Highest Posterior Density Interval 95%,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,,80,1,0,,80,80,,,,,,NA,NA,NA,80,,NA,,NA,NA,,NA,glycoprotein,0,,,0,80
38,50b526abcf6d51352b32f86d65d45831,dcdbbab89247c9850cd2497bff678037,Human delay - other human delay (go to section),6.1,0,Days,3.9,7.5,Mean,8.5,Standard deviation (Sd),NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,,89,1,0,,89,89,,,,,,NA,NA,2185,89,,NA,,NA,NA,,NA,,0,Symptom Onset/Fever,Other: Enter Timepoint in Text Box,0,89
38,50b526abcf6d51352b32f86d65d45831,668353473b7826c853344294b2aee630,Human delay - other human delay (go to section),11.8,0,Days,11,12.8,Mean,6.1,Standard deviation (Sd),NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,,92,1,0,,92,92,,,,,,NA,NA,290,92,,NA,,NA,NA,,NA,,0,Admission to Care/Hospitalisation,Discharge from Care/Hospital,0,92
38,50b526abcf6d51352b32f86d65d45831,3c35897496d28ae9ce5f6968d8c24dee,Human delay - other human delay (go to section),11.8,0,Days,11,12.7,Mean,7.2,Standard deviation (Sd),NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,,90,1,0,,90,90,,,,,,NA,NA,312,90,,NA,,NA,NA,,NA,,0,Other: Enter Timepoint in Text Box,Discharge from Care/Hospital,0,90
38,50b526abcf6d51352b32f86d65d45831,e429750180da978d7acdcd20319242a5,Human delay - other human delay (go to section),-3,0,Days,-4.4,-1.6,Mean,13.8,Standard deviation (Sd),NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,,91,1,0,,91,91,,,,,,NA,NA,584,91,,NA,,NA,NA,,NA,,0,Other: Enter Timepoint in Text Box,Death,0,91
38,50b526abcf6d51352b32f86d65d45831,3797d7459c63f1d8a0b0aa65873a9787,Human delay - other human delay (go to section),7.5,0,Days,6.4,8.6,Mean,6.8,Standard deviation (Sd),NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,,88,1,0,,88,88,,,,,,NA,NA,594,88,,NA,,NA,NA,,NA,,0,Symptom Onset/Fever,Death,0,88
38,50b526abcf6d51352b32f86d65d45831,7ca258d56a41d62a25e45136218d275e,Human delay - other human delay (go to section),4.2,0,Days,2.5,4.5,Mean,6.4,Standard deviation (Sd),NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,,93,1,0,,93,93,,,,,,NA,NA,121,93,,NA,,NA,NA,,NA,,0,Admission to Care/Hospitalisation,Death,0,93
38,50b526abcf6d51352b32f86d65d45831,a0cb4252834db13070d2ea1fa863adeb,Human delay - time in care (length of stay),6.42,0,Days,4.99,6.88,Mean,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,,94,1,0,,94,94,,,,,,NA,NA,NA,94,,NA,,NA,NA,,NA,,0,,,0,94
38,50b526abcf6d51352b32f86d65d45831,d92016a9ff798bf906e6b22180b42243,Severity - case fatality rate (CFR),70.8,0,Percentage (%),41.1,84,Unspecified,NA,,68.6,72.8,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,Adjusted,,95,1,0,,95,95,,,,,,NA,NA,1737,95,,NA,,NA,NA,,NA,,0,,,0,95
38,50b526abcf6d51352b32f86d65d45831,6c0c7c75f1f9644cd21418d3800ad34e,Risk factors,NA,0,,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,,96,0,0,Death,96,96,Significant,Adjusted,,,,NA,NA,NA,96,,NA,,NA,NA,,NA,,0,,,0,96
38,50b526abcf6d51352b32f86d65d45831,2b9410b48d4d4a500416236ec461a150,Risk factors,NA,0,,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,,97,0,0,Death,97,97,Not significant,Adjusted,,,,NA,NA,NA,97,,NA,,NA,NA,,NA,,0,,,0,97
38,50b526abcf6d51352b32f86d65d45831,77e35b4fd03fda082b35af904fc7dce2,Human delay - incubation period,11.4,0,Days,8.3,11.7,Mean,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,Unspecified,,,81,1,0,,81,81,,,Both,,,NA,NA,155,81,,NA,Dec 12,2013,14,Sep 09,2014,,0,,,0,81
38,50b526abcf6d51352b32f86d65d45831,29c053e3f9815c042230898e08867e73,Human delay - serial interval,15.3,0,Days,11.6,19,Mean,9.3,Standard deviation (Sd),NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,,82,1,0,,82,82,,,,,,NA,NA,92,82,,NA,,NA,NA,,NA,,0,,,0,82
38,50b526abcf6d51352b32f86d65d45831,9bc0eacbb3160c54f111105bf84c6f60,Doubling time,NA,0,Days,12.84,59.75,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,,84,1,1,,84,84,,,,,,NA,NA,NA,84,,NA,,NA,NA,,NA,,0,,,0,84
38,50b526abcf6d51352b32f86d65d45831,0cafc67556906520c4f94e561f91228b,Reproduction number (Basic R0),NA,0,No units,1.2,2.02,Mean,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,,83,1,1,,83,83,,,,,,NA,NA,NA,83,,NA,,NA,NA,,NA,,0,,,0,83
38,50b526abcf6d51352b32f86d65d45831,bcb8511b953af70786003bf645643c76,"Reproduction number (Effective, Re)",NA,0,No units,1.38,1.81,Mean,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,,85,1,1,,85,85,,,,,,NA,NA,NA,85,,NA,,NA,NA,,NA,,0,,,0,85
38,50b526abcf6d51352b32f86d65d45831,ce1eb36e2f616c34e40f28d7d5be27a5,Human delay - other human delay (go to section),5,0,Days,4.1,5.3,Mean,4.7,Standard deviation (Sd),NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,,86,1,0,,86,86,,,,,,NA,NA,1135,86,,NA,,NA,NA,,NA,,0,Symptom Onset/Fever,Admission to Care/Hospitalisation,0,86
38,50b526abcf6d51352b32f86d65d45831,d1dea999e8e6b1de0061a069f2fa26ae,Human delay - other human delay (go to section),16.4,0,Days,15.4,17.2,Mean,6.5,Standard deviation (Sd),NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,,87,1,0,,87,87,,,,,,NA,NA,267,87,,NA,,NA,NA,,NA,,0,Symptom Onset/Fever,Discharge from Care/Hospital,0,87
19,c45a3bab0d6baf5fab8ede23380d9313,f1888f81feef6c9a6f77a7f052545c4c,Human delay - incubation period,NA,NA,Days,9.34,14.27,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,1,Unspecified,,Empirical (contact tracing),4,1,1,,4,4,,,,,,NA,NA,NA,4,,25,May 05,2014,25,Jan 01,2015,,0,,,1,4
19,c45a3bab0d6baf5fab8ede23380d9313,28509dd4140d98ea9ce48bd4f2ad26d0,"Reproduction number (Effective, Re)",NA,0,No units,0.44,2.22,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,1,,,Compartmental model,43,1,1,,43,43,,,,,,NA,NA,NA,43,,25,May 05,2014,25,Jan 01,2015,,0,,,0,43
22,a68d00d98b97643f1aad94dd95819346,48a9a2ed282a4173462503b73853480b,Human delay - incubation period,9.2,0,Days,NA,NA,Mean,6.7,Standard deviation (Sd),2,33,Range,NA,NA,NA,NA,NA,0,NA,NA,0,0,Unspecified,,,44,0,0,,44,44,,,Both,Hospital based,,NA,NA,49,44,Jui Government Hospital,1,Oct 10,2014,9,Nov 11,2014,,0,,,0,44
22,a68d00d98b97643f1aad94dd95819346,4f6451b0b6a2daf4b7faefcd37bbca6d,Risk factors,NA,0,,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,,49,0,0,Death,49,49,Significant,Not adjusted,,,,NA,NA,NA,49,,NA,,NA,NA,,NA,,0,,,0,49
22,a68d00d98b97643f1aad94dd95819346,07701b6e5ec65a1f12dd800baad73e3a,Human delay - other human delay (go to section),5.8,0,Days,NA,NA,Mean,3.3,Standard deviation (Sd),NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,Unspecified,,,46,0,0,,46,46,,,Both,Hospital based,,NA,NA,49,46,Jui Government Hospital,1,Oct 10,2014,9,Nov 11,2014,,0,Symptom Onset/Fever,Admission to Care/Hospitalisation,0,46
22,a68d00d98b97643f1aad94dd95819346,bef9e20a59f0894083657edb535e912a,Severity - case fatality rate (CFR),60,0,Percentage (%),NA,NA,,NA,,NA,NA,,51,85,NA,NA,NA,0,NA,NA,0,0,Unspecified,Unspecified,,45,0,0,,45,45,,,Both,Hospital based,,NA,NA,85,45,Jui Government Hospital,1,Oct 10,2014,9,Nov 11,2014,,0,,,0,45
22,a68d00d98b97643f1aad94dd95819346,77b8e7e67648827c2ae0d87d3c7ecfc1,Human delay - other human delay (go to section),10.6,0,Days,NA,NA,Mean,3.2,Standard deviation (Sd),NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,Unspecified,,,47,0,0,,47,47,,,Both,Hospital based,,NA,NA,NA,47,Jui Government hospital,1,Oct 10,2014,9,Nov 11,2014,,0,Symptom Onset/Fever,Death,0,47
22,a68d00d98b97643f1aad94dd95819346,732d318ae0962ebcc4bc167fdd0b105c,Risk factors,NA,0,,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,,50,0,0,Death,50,50,Significant,Adjusted,,,,NA,NA,NA,50,,NA,,NA,NA,,NA,,0,,,0,50
25,5c3f1f8983cc71acabc2f358d829cf1c,d03fda99fd95de25e5ef80daf1b6e81d,Severity - case fatality rate (CFR),63,0,Percentage (%),NA,NA,Unspecified,NA,,60,64,CI95%,NA,NA,NA,NA,NA,0,NA,NA,0,1,Unspecified,Adjusted,,54,0,0,,54,54,,,,,,NA,NA,NA,54,Montserrado county,7,Jul 07,2014,22,Sep 09,2014,,0,,,0,54
25,5c3f1f8983cc71acabc2f358d829cf1c,ea61c045d49d34a2c24e0f35d7524f41,"Reproduction number (Effective, Re)",1.73,0,No units,NA,NA,Unspecified,NA,,1.66,1.83,CI95%,NA,NA,NA,NA,NA,0,NA,NA,0,0,Unspecified,,Renewal equations / Branching process,55,1,1,,55,55,,,,,,NA,NA,NA,55,,NA,,2014,NA,,2014,,0,,,0,55
30,5eb366c8f1eaeee671f6bf46f08230cc,aa5bccc7d3bbf9570a53fd3e061f8e4a,Risk factors,NA,0,,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,Unspecified,,,56,0,0,Death,56,56,Unspecified,Adjusted,Both,Hospital based,,NA,NA,263,56,Western Area Rural district,5,Nov 11,2014,31,Mar 03,2015,,0,,,0,56
30,5eb366c8f1eaeee671f6bf46f08230cc,5f7c7d0fa84907772ab70dff43efe6ef,Risk factors,NA,0,,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,Unspecified,,,57,0,0,Other,57,57,Unspecified,Adjusted,Both,Hospital based,,NA,NA,137,57,Western area rural district,5,Nov 11,2014,31,Mar 03,2015,,0,,,0,57
30,5eb366c8f1eaeee671f6bf46f08230cc,35f540f7486a360ac499157af897995d,Human delay - time in care (length of stay),9,0,Days,NA,NA,Median,NA,,NA,14,Inter Quartile Range (IQR),NA,NA,NA,NA,NA,0,NA,NA,0,0,Unspecified,,,58,0,0,,58,58,,,Both,Hospital based,Other,NA,NA,263,58,Western area rural district,5,Nov 11,2014,31,Mar 03,2015,,0,,,0,58
30,5eb366c8f1eaeee671f6bf46f08230cc,aa4f3349f76cf76e285e7abd19e62167,Human delay - time in care (length of stay),3,0,Days,NA,NA,Median,NA,,2,5,Inter Quartile Range (IQR),NA,NA,NA,NA,NA,0,NA,NA,0,0,Unspecified,,,59,0,0,,59,59,,,Both,Hospital based,Other,NA,NA,263,59,Western rural area,5,Nov 11,2014,31,Mar 03,2015,,0,,,0,59
1,d8adac7f97cf0368bd438bd915037458,a739f46b125fedfa90daf7a8e42d15e2,Human delay - infectious period,NA,0,Days,10.92,12.35,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,,3,1,1,,3,3,,NA,,,NA,NA,NA,NA,3,,25,May 05,2014,25,Jan 01,2015,NA,0,,,0,3
1,d8adac7f97cf0368bd438bd915037458,417e398d77eae65858fda335e4e4ca00,Human delay - incubation period,NA,0,Days,9.64,14.27,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,,2,1,1,,2,2,,NA,,,NA,NA,NA,NA,2,,25,May 05,2014,25,Jan 01,2015,NA,0,,,0,2
1,d8adac7f97cf0368bd438bd915037458,4a4ebbf41b70f8c5db55bbc01b9f8622,"Reproduction number (Effective, Re)",NA,0,,0.44,2.22,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,Compartmental model,1,1,1,,1,1,,NA,,,NA,NA,NA,NA,1,,25,May 05,2014,25,Jan 01,2015,NA,0,,,0,1
4,296b0497450b795d0889bf85433f8263,08678e9bd6ee5feae60d267abcf73ccb,Severity - case fatality rate (CFR),74.2,0,Percentage (%),NA,NA,Mean,NA,,72.6,75.5,CRI95%,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,,12,0,0,Death,12,12,Significant,NA,Both,Unspecified,NA,NA,NA,17318,12,,24,May 05,2014,31,Jan 01,2015,NA,0,,,0,12
5,595c8f4d51f67d727d7241813554d7a3,0a9914f48124202e6a9704450534e87f,Reproduction number (Basic R0),1.3,0,No units,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,,15,0,0,,15,15,,NA,Unspecified,,NA,NA,NA,NA,15,,NA,,NA,NA,,NA,NA,0,,,0,15
5,595c8f4d51f67d727d7241813554d7a3,0e66a89a042f5f74003cab99fad5f945,Reproduction number (Basic R0),1.5,0,No units,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,Compartmental model,13,0,0,,13,13,,NA,Unspecified,,NA,NA,NA,NA,13,,NA,,NA,NA,,NA,NA,0,,,0,13
5,595c8f4d51f67d727d7241813554d7a3,25fd43fe9591327eaed690e4537f89c3,Reproduction number (Basic R0),2.5,0,No units,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,Compartmental model,14,0,0,,14,14,,NA,Unspecified,,NA,NA,NA,NA,14,,NA,,NA,NA,,NA,NA,0,,,0,14
2,02738e0710033f7d20becf6be1405f18,db429442c930a4ab4e3e37b2738e2649,Severity - case fatality rate (CFR),54.7,0,Percentage (%),NA,NA,,NA,,NA,NA,,76,139,NA,NA,NA,0,NA,NA,0,0,Mid outbreak,Unspecified,,4,0,0,Infection,4,4,Significant,NA,Both,Hospital based,NA,0,75,374,4,JUI Holding and Treatment Centre,15,Nov 11,2014,18,Jan 01,2015,NA,0,,,0,4
2,02738e0710033f7d20becf6be1405f18,0b6d15599743e7a3769fc84ac46b9ae5,Human delay - incubation period,8.6,0,Days,NA,NA,Mean,6.1,Standard deviation (Sd),NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,Mid outbreak,,,5,0,0,,5,5,,NA,Both,Hospital based,NA,NA,NA,31,5,JUI Holding and Treatment Centre,15,Nov 11,2014,18,Jan 01,2015,NA,0,,,0,5
2,02738e0710033f7d20becf6be1405f18,353c84d00004ffe49f3046a6c9605fd6,Human delay - other human delay (go to section),4.4,0,Days,NA,NA,Mean,3.5,Standard deviation (Sd),NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,Mid outbreak,,,6,0,0,,6,6,,NA,Both,,NA,0,75,139,6,,15,Nov 11,2014,18,Jan 01,2015,NA,0,Symptom Onset/Fever,Admission to Care/Hospitalisation,0,6
2,02738e0710033f7d20becf6be1405f18,7f74115857abd4833bbe44fedef991db,Human delay - other human delay (go to section),8.6,0,Days,NA,NA,Mean,4.8,Standard deviation (Sd),NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,Mid outbreak,,,7,0,0,,7,7,,NA,Both,Hospital based,NA,NA,NA,76,7,JUI Holding and Treatment Centre,15,Nov 11,2014,18,Jan 01,2015,NA,0,Symptom Onset/Fever,Death,0,7
2,02738e0710033f7d20becf6be1405f18,a39f53bbf18434d67f5cc228d6a7369f,Human delay - other human delay (go to section),14.4,0,Days,NA,NA,Mean,4.7,Standard deviation (Sd),NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,Mid outbreak,,,8,0,0,,8,8,,NA,Both,Hospital based,NA,NA,NA,63,8,JUI Holding and Treatment Centre,15,Nov 11,2014,18,Jan 01,2015,NA,0,Symptom Onset/Fever,Discharge from Care/Hospital,0,8
2,02738e0710033f7d20becf6be1405f18,178adf060bc1c673daf847655cbc1057,Human delay - time in care (length of stay),10.6,0,Days,NA,NA,Mean,4.2,Standard deviation (Sd),NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,Mid outbreak,,,9,0,0,,9,9,,NA,Both,Hospital based,NA,NA,NA,63,9,JUI Holding and Treatment Centre,15,Nov 11,2014,18,Jan 01,2015,NA,0,,,0,9
2,02738e0710033f7d20becf6be1405f18,40ca0b9bc43c0c449c365517ae37060f,Human delay - other human delay (go to section),3.7,0,Days,NA,NA,Mean,2.7,Standard deviation (Sd),NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,Mid outbreak,,,10,0,0,,10,10,,NA,Both,Hospital based,NA,NA,NA,76,10,JUI Holding and Treatment Centre,15,Nov 11,2015,18,Jan 01,2014,NA,0,Admission to Care/Hospitalisation,Death,0,10
3,0ca1bc6991f7ae9aae8a05cc491d2f3a,93c0d9b2a8d2904a12819fcb836d30c8,Reproduction number (Basic R0),2.012,0,No units,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,Compartmental model,11,0,0,,11,11,,NA,,,NA,NA,NA,NA,11,,29,Jun 06,2014,7,Oct 10,2014,NA,0,,,0,11
7,2590960edab4a461dcdbabe3ad1fdcc7,9b6c4bb6425987ce18cb1356b90fb8bb,Reproduction number (Basic R0),1.181,0,No units,NA,NA,,NA,,1.181,1.182,CI95%,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,Compartmental model,18,0,0,,18,18,,NA,Unspecified,,NA,NA,NA,NA,18,,1,Mar 03,2014,18,Mar 03,2015,NA,0,,,0,18
7,2590960edab4a461dcdbabe3ad1fdcc7,8cf4bacdd37980021c9a6f9d5ff0993a,Reproduction number (Basic R0),1.116,0,No units,NA,NA,,NA,,1.115,1.116,CI95%,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,Compartmental model,16,0,0,,16,16,,NA,Unspecified,,NA,NA,NA,NA,16,,1,Mar 03,2014,18,Mar 03,2015,NA,0,,,0,16
7,2590960edab4a461dcdbabe3ad1fdcc7,be68f4054397d6ec588e4a161c86218c,Reproduction number (Basic R0),1.226,0,,NA,NA,,NA,,1.225,1.228,CI95%,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,Compartmental model,17,0,0,,17,17,,NA,Unspecified,,NA,NA,NA,NA,17,,1,Mar 03,2014,18,Mar 03,2015,NA,0,,,0,17
3,a312c35a5ecc640264aa6cf5494379d3,f89a459a25731871c9f7072029e4fe89,"Reproduction number (Effective, Re)",NA,0,No units,0.62,1.38,Mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,Start outbreak,NA,Growth rate,1,1,1,NA,1,1,NA,NA,Unspecified,Population based,General population,NA,NA,NA,1,NA,25,Mar 03,2014,22,Mar 03,2015,NA,0,NA,NA,0,1
4,a43fee5b36a3a27c571481a3fd6f44b1,e789d5f4688f55d2cfb1d62570161e9e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8f0eabb10074ccb59c7ed72b514c94a8,721e06f5b4573b0eeb203e00404720e0,Risk factors,NA,0,,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,Post outbreak,,,16,0,0,Death,16,16,Significant,Unspecified,Both,Hospital based,Unspecified,0.5,75,139,16,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov 11,2014,18,Jan 01,2015,,0,,,0,16
1,8f0eabb10074ccb59c7ed72b514c94a8,98d9f70301e4f7b4a6b670c46d203541,Severity - case fatality rate (CFR),54.7,0,Percentage (%),8.6,93.3,Unspecified,NA,,NA,NA,,76,139,NA,NA,NA,0,NA,NA,0,0,Post outbreak,Naive,,2,1,0,,2,2,,,Both,Hospital based,Unspecified,0.5,75,139,2,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov 11,2014,18,Jan 01,2015,,0,,,0,2
1,8f0eabb10074ccb59c7ed72b514c94a8,8682eb6250c6306891b8c865fd97083e,Human delay - incubation period,8.6,0,Days,7.3,12.3,Mean,6.1,Standard deviation (Sd),NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,Post outbreak,,,3,1,0,,3,3,,,Both,Hospital based,Unspecified,NA,NA,31,3,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov 11,2014,18,Jan 01,2015,,0,,,0,3
