fixed,covidence_id,name_data_entry,shared_article_id,shared_model_id,name_data_entry.x,model_data_id,article_id,model_type,compartmental_type,stoch_deter,theoretical_model,interventions_type,code_available,transmission_route,assumptions,ebola_variant,name_data_entry.y,double_extracted,num_rows,matching
1,411,Ettie Unwin,38_Ettie Unwin,21_Ettie Unwin,Ettie Unwin,21,38,Other,Not compartmental,NA,TRUE,NA,FALSE,NA,NA,Unspecified,Ettie Unwin,1,1,0
1,442,Gina,2_Gina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1,454,Sequoia,39_Sequoia,27_Sequoia,Sequoia,27,39,Agent / Individual based,SEIR,Stochastic,TRUE,Behaviour changes;Hospitals;Other;Quarantine;Safe burials,FALSE,Unspecified,Unspecified,Unspecified,Sequoia,1,1,0
1,507,Sabine,3_Sabine,2_Sabine,Sabine,2,3,Compartmental,Other compartmental,Stochastic,FALSE,Hospitals;Behaviour changes;Safe burials,FALSE,Unspecified,Heterogenity in transmission rates - between groups;Latent period is same as incubation period,Unspecified,Sabine,1,1,0
1,525,Christian,5_Christian,3_Christian,Christian,3,5,Agent / Individual based,SEIR,Stochastic,FALSE,NA,FALSE,Unspecified,Heterogenity in transmission rates - between groups;Latent period is same as incubation period;Heterogenity in transmission rates - over time,Unspecified,Christian,1,1,0
1,547,Ettie Unwin,39_Ettie Unwin,22_Ettie Unwin,Ettie Unwin,22,39,Other,Not compartmental,NA,FALSE,NA,FALSE,NA,NA,Unspecified,Ettie Unwin,1,1,0
1,590,Jack,1_Jack,1_Jack,Jack,1,1,Other,NA,NA,FALSE,NA,FALSE,Human to human (direct non-sexual contact),NA,NA,Jack,1,1,0
1,676,Ruth,2_Ruth,1_Ruth,Ruth,1,2,Compartmental,Other compartmental,NA,FALSE,Safe burial; Unspecified,FALSE,Human to human (direct non-sexual contact),Homogeneous mixing,Unspecified,Ruth,1,1,0
1,700,Rebecca Nash,40_Rebecca Nash,19_Rebecca Nash,Rebecca Nash,19,40,Compartmental,SIR,NA,FALSE,Hospitals,FALSE,Human to human (direct non-sexual contact),NA,Unspecified,Rebecca Nash,1,1,0
1,701,Sequoia,36_Sequoia,18_Sequoia,Sequoia,18,36,Compartmental,SEIR,Stochastic,FALSE,Contact tracing,FALSE,Human to human (direct non-sexual contact),Unspecified,Zaire Ebola virus (EBOV),Sequoia,1,1,0
1,754,Christian,7_Christian,4_Christian,Christian,4,7,Compartmental,SIS,Deterministic,FALSE,NA,FALSE,Human to human (direct non-sexual contact),NA,Unspecified,Christian,1,1,0
1,757,Cyril,4_Cyril,2_Cyril,Cyril,2,4,Compartmental,Other compartmental,NA,TRUE,Hospitals;Safe burials,FALSE,NA,NA,Unspecified,Cyril,1,1,0
1,865,Dariya Nikitin,4_Dariya Nikitin,3_Dariya Nikitin,Dariya Nikitin,3,4,Compartmental,Other compartmental,Deterministic,FALSE,Unspecified,TRUE,Unspecified,Unspecified,Unspecified,Dariya Nikitin,1,1,0
1,885,Anne,36_Anne,18_Anne,Anne,18,36,Agent / Individual based,SEIR,Stochastic,FALSE,Other;Safe burials,FALSE,Unspecified,Heterogenity in transmission rates - over time;Latent period is same as incubation period,Unspecified,Anne,1,1,0
