input_col,input_table,target_col,target_table
parameter_hd_to,Parameter Data,,parameters
parameter_cfr_definition,Parameter Data,,parameters
parameter_cfr_seroprev,Parameter Data,,parameters
parameter_context_human,Parameter Data,,parameters
parameter_context_nonhuman,Parameter Data,,parameters
parameter_context_genotype,Parameter Data,,parameters
parameter_context_timing,Parameter Data,,parameters
parameter_context_zika,Parameter Data,,parameters
parameter_context_urban,Parameter Data,,parameters
parameter_context_data,Parameter Data,,parameters
parameter_context_sample_type,Parameter Data,,parameters
parameter_exponent,Parameter Data,Exponent,parameters
parameter_notes,Parameter Data,,parameters
outbreak_notes,Outbreak Data,,outbreaks
model_notes,Model Information,,models
qa_notes,Quality Assessment,,articles
parameter_context_unchanged,Parameter Data,,parameters
